StateAbbr,StateDesc,CountyName,CountyFIPS
NC,North Carolina,Warren,37185
SC,South Carolina,Aiken,45003
SC,South Carolina,Calhoun,45017
SC,South Carolina,Darlington,45031
SC,South Carolina,Florence,45041
SC,South Carolina,Saluda,45081
SD,South Dakota,Moody,46101
VA,Virginia,Nelson,51125
OK,Oklahoma,Jackson,40065
IL,Illinois,Lawrence,17101
KS,Kansas,Barton,20009
AK,Alaska,Anchorage,2020
OK,Oklahoma,Stephens,40137
WV,West Virginia,Mingo,54059
MN,Minnesota,Carlton,27017
NE,Nebraska,Butler,31023
KY,Kentucky,Green,21087
VA,Virginia,Alleghany,51005
TX,Texas,Hidalgo,48215
MO,Missouri,Stone,29209
MO,Missouri,Cass,29037
TN,Tennessee,Fentress,47049
IA,Iowa,Clay,19041
NY,New York,Suffolk,36103
MN,Minnesota,Freeborn,27047
NE,Nebraska,Nuckolls,31129
OH,Ohio,Medina,39103
MS,Mississippi,Claiborne,28021
IL,Illinois,Hardin,17069
TX,Texas,Gray,48179
KY,Kentucky,Elliott,21063
MS,Mississippi,Tate,28137
FL,Florida,Okaloosa,12091
TX,Texas,Terrell,48443
MN,Minnesota,Otter Tail,27111
AR,Arkansas,Greene,5055
VA,Virginia,Powhatan,51145
NM,New Mexico,Socorro,35053
ME,Maine,Waldo,23027
LA,Louisiana,Union,22111
PA,Pennsylvania,Pike,42103
PA,Pennsylvania,Washington,42125
WI,Wisconsin,Burnett,55013
IN,Indiana,Porter,18127
SC,South Carolina,Horry,45051
AZ,Arizona,Greenlee,4011
WV,West Virginia,Harrison,54033
OH,Ohio,Portage,39133
OK,Oklahoma,Adair,40001
MS,Mississippi,Panola,28107
ND,North Dakota,Sheridan,38083
MT,Montana,Phillips,30071
UT,Utah,Box Elder,49003
OH,Ohio,Guernsey,39059
NH,New Hampshire,Coos,33007
ND,North Dakota,Bowman,38011
PA,Pennsylvania,Crawford,42039
GA,Georgia,Lumpkin,13187
MO,Missouri,Ozark,29153
KY,Kentucky,Union,21225
FL,Florida,Hillsborough,12057
NE,Nebraska,Saline,31151
SD,South Dakota,Oglala Lakota,46102
VA,Virginia,Mathews,51115
MI,Michigan,Baraga,26013
IA,Iowa,Louisa,19115
KS,Kansas,Doniphan,20043
VA,Virginia,Covington,51580
FL,Florida,Dixie,12029
IL,Illinois,Hancock,17067
KY,Kentucky,Gallatin,21077
CO,Colorado,Bent,8011
TN,Tennessee,Hardin,47071
NC,North Carolina,Brunswick,37019
KS,Kansas,Bourbon,20011
NY,New York,Delaware,36025
MN,Minnesota,Anoka,27003
UT,Utah,Iron,49021
TX,Texas,Falls,48145
GA,Georgia,Tattnall,13267
